Time [s],Channel 5,Channel 6
23.362378560,0,1
23.387343520,0,0
23.387352000,1,0
23.412316800,0,0
23.412324640,0,1
23.437290080,0,0
23.437298560,1,0
23.462264000,0,0
23.462272000,0,1
23.487237600,0,0
23.487246080,1,0
23.512212640,0,0
23.512220480,0,1
23.537187040,0,0
23.537195680,1,0
23.562161280,0,0
23.562169120,0,1
23.587135680,0,0
23.587144160,1,0
23.612109280,0,0
23.612117120,0,1
23.637082560,0,0
23.637091040,1,0
23.662057760,0,0
23.662065760,0,1
23.687031680,0,0
23.687040160,1,0
23.712006240,0,0
23.712014080,0,1
23.736980000,0,0
23.736988480,1,0
23.761953440,0,0
23.761961280,0,1
23.786926400,0,0
23.786935040,1,0
23.811899840,0,0
23.811907680,0,1
23.836874560,0,0
23.836883200,1,0
23.861848480,0,0
23.861856480,0,1
23.886821600,0,0
23.886830240,1,0
23.911795520,0,0
23.911803680,0,1
23.936769440,0,0
23.936778240,1,0
23.961743360,0,0
23.961751520,0,1
23.986716480,0,0
23.986725280,1,0
24.011691680,0,0
24.011699680,0,1
24.036665280,0,0
24.036673920,1,0
24.061639520,0,0
24.061647520,0,1
24.086612320,0,0
24.086621120,1,0
24.111585920,0,0
24.111593920,0,1
24.136560000,0,0
24.136568640,1,0
24.141046400,0,0
24.166031360,1,0
24.186507520,0,0
24.186515520,0,1
24.211480480,0,0
24.211489120,1,0
24.236453760,0,0
24.236461760,0,1
24.261427040,0,0
24.261435680,1,0
24.286400960,0,0
24.286408960,0,1
24.311373920,0,0
24.311382560,1,0
24.336348480,0,0
24.336356480,0,1
24.361320640,0,0
24.361329280,1,0
24.386292640,0,0
24.386300640,0,1
24.411264160,0,0
24.411272640,1,0
24.436236800,0,0
24.436244640,0,1
24.461209440,0,0
24.461217920,1,0
24.486181120,0,0
24.486189120,0,1
24.511152800,0,0
24.511161280,1,0
24.536125280,0,0
24.536133280,0,1
24.561098560,0,0
24.561107200,1,0
24.586072960,0,0
24.586080960,0,1
24.611047040,0,0
24.611055680,1,0
24.636020800,0,0
24.636028640,0,1
24.660993760,0,0
24.661002400,1,0
24.685966240,0,0
24.685974240,0,1
24.710938720,0,0
24.710947200,1,0
24.735911840,0,0
24.735919840,0,1
24.760886400,0,0
24.760894880,1,0
24.785860000,0,0
24.785868000,0,1
24.810831680,0,0
24.810840320,1,0
24.835804640,0,0
24.835812640,0,1
24.860777280,0,0
24.860785920,1,0
24.885751680,0,0
24.885759840,0,1
24.910725280,0,0
24.910734080,1,0
24.935700000,0,0
24.935708160,0,1
24.960674080,0,0
24.960682880,1,0
24.985648640,0,0
24.985656800,0,1
25.010623200,0,0
25.010631840,1,0
25.035596320,0,0
25.035604320,0,1
25.060568640,0,0
25.060577280,1,0
25.085543040,0,0
25.085551040,0,1
25.110516160,0,0
25.110524960,1,0
25.135489760,0,0
25.135497920,0,1
25.139975840,0,0
25.164960800,0,1
25.185438080,0,0
25.185446880,1,0
25.210412480,0,0
25.210420480,0,1
25.235386880,0,0
25.235395520,1,0
25.260360800,0,0
25.260368800,0,1
25.285334720,0,0
25.285343520,1,0
25.310309600,0,0
25.310317600,0,1
25.335284000,0,0
25.335292800,1,0
25.360257280,0,0
25.360265280,0,1
25.385230080,0,0
25.385238560,1,0
25.410203840,0,0
25.410211680,0,1
25.435176480,0,0
25.435184960,1,0
25.460149120,0,0
25.460157120,0,1
25.485120800,0,0
25.485129280,1,0
25.510093920,0,0
25.510101760,0,1
25.535065120,0,0
25.535073760,1,0
25.560036640,0,0
25.560044480,0,1
25.585007680,0,0
25.585016160,1,0
25.609979680,0,0
25.609987680,0,1
25.634951680,0,0
25.634960160,1,0
25.659923520,0,0
25.659931360,0,1
